BN,FPE,Form ID,Program #1 Code,Program #1 %,Program #1 Desc,Program #2 Code,Program #2 %,Program #2 Desc,Program #3 Code,Program #3 %,Program #3 Desc,1510,1510-BN,1510-Name,1570,1600,1800,2000,2100,2400,5030  ,5031,5032,2500,2510,2530,2540,2550,2560,2570,2575,2580,2590,2600,2610,2620,2630,2640,2650,2660,2700,5450,5460,2730,2740,2750,2760,2770,2780,2790,2800,3200,3400,3900,4000,5800,5810,5820,5830,5840,5841,5842,5843,5850,5860,5861,5862,5863,5864
755082476RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,Y,"ALCB Casino work  Highway Cleanup  provided help to a local Car Club event  Facility History Tours  Photoshoots  Community Church Service  Community BBQ's  facility rental.",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
821701356RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,Y,,,,,,,Y,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
138551304RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,Y,,,,,,,,,"",Y,2143,78,,,,Y,,,"",Y,N,Y,N,N,N,N,N,N,,,,,,,,,,
889247938RR0001,2023-03-31,25,A7,100,"",,,,,,,N,"","",N,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
119078582RR0002,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
872619077RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
890098932RR0001,2023-03-20,25,,,,,,,,,,Y,"119051944RR0001","NATIONAL SPIRITUAL ASSEMBLY OF THE BAHAI'IS CANADA",N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
707015707RR0001,2023-03-15,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,Y,,,Y,,,Y,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
837986140RR0001,2023-03-31,25,,,,,,,,,,Y,"106863137RR0001","Royal Canadian Marine Search and Rescue Inc.",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,Y,"Reimbursement for SAR activities  funds from grant applications  and individual donations.",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
118816610RR0001,2023-03-31,25,,,,,,,,,,Y,"107690885","MCC Manitoba",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
783766348RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,Y,,,,,,,,,,"",N,,,,,,,,,"",,Y,N,N,N,N,N,N,N,,,,,,,,,,
865451611RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,Y,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
828776583RR0001,2023-02-28,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
119255602RR0001,2023-03-20,25,E5,100,"",,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
814517801RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
889307047RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
897859609RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,Y,"Canada Helps and Benevity",N,,,,,,,,,"",,N,Y,N,N,N,N,N,N,,,,,,,,,,
850144502RR0001,2023-01-31,25,,,,,,,,,,N,"","",N,N,Y,N,Y,,,,,,,,,,,,Y,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
107585085RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,,,,,,,,,Y,,,,,,,,"",N,,,,,,,,,"",,Y,Y,N,N,N,N,N,N,,,,,,,,,,
893783936RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,Y,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
820163152RR0001,2023-04-14,25,,,,,,,,,,N,"","",Y,N,Y,N,N,,,,,,,Y,,,,,,,Y,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
887974269RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,Y,Y,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,Y,N,N,N,N,,,,,,,,,,
873630529RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,Y,N,,,,,Y,,,,Y,,,,,,,,,,,Y,"luncheons and bazzars",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
857487193RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,Y,,,,,,,,,,,,,,,Y,Y,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
118928043RR0001,2023-03-31,25,,,,,,,,,,N,"","",N,N,Y,N,N,,,,,,,,,,,,,,,,,,,,,"",N,,,,,,,,,"",,N,N,N,N,N,N,N,N,,,,,,,,,,
