BN,Category,Sub Category,Designation,Legal Name,Account Name,Address Line 1,Address Line 2,City,Province,Postal Code,Country
838408821RR0001,0180,0002,C,"Virden Pet Network (VPN)","Virden Pet Network (VPN)","P.O. BOX 925","","VIRDEN",MB,R0M2C0,CA
840123053RR0001,0030,0099,C,"PURE WITNESS MINISTRIES INC.","Pure Witness Ministries Inc.","PO BOX 175","","VONDA",SK,S0K4N0,CA
886609197RR0001,0190,0099,C,"LAKESHORE CHAMBER MUSIC SOCIETY","LAKESHORE CHAMBER MUSIC SOCIETY","847 5E AVE","","L'ILE-BIZARD",QC,H9C1J4,CA
886059799RR0001,0200,0099,C,"THE CANADIAN AGRICULTURAL HALL OF FAME ASSOCIATION","THE CANADIAN AGRICULTURAL HALL OF FAME ASSOCIATION","3268C OLD  GEORGE STREET","PO BOX 576","OSGOODE",ON,K0A2W0,CA
118922293RR0001,0015,0002,A,"La Fondation du Cégep de Sainte-Foy","LA FONDATION DU CÉGEP DE SAINTE-FOY","2410 CHEMIN SAINTE-FOY","","QUÉBEC",QC,G1V1T3,CA
886482397RR0001,0001,0099,C,"Association Québécoise du syndrome de la tourette","ASSOCIATION QUEBECOISE DU SYNDROME DE LA TOURETTE","146-14115 RUE PRINCE-ARTHUR","","MONTREAL",QC,H1A1A8,CA
119126514RR0001,0100,0099,C,"THE ROYAL CANADIAN DENTAL CORPS ASSOCIATION","THE ROYAL CANADIAN DENTAL CORPS ASSOCIATION","867 TEWIN CIR","","ORLEANS",ON,K4A1K1,CA
108067968RR0001,0010,0099,C,"TEMPO SCHOOL","TEMPO SCHOOL","5603 - 148 STREET","","EDMONTON",AB,T6H4T7,CA
799823091RR0001,0012,0002,C,"CECILIAN CONCERT SERIES INC.","Cecilian Concert Series Inc.","2255 COLLEGE AVE","","REGINA",SK,S4P0S9,CA
119076560RR0002,0160,0006,C,"PARENTS' CHILD DEVELOPMENT CO-OPERATIVE","PARENTS' CHILD DEVELOPMENT CO-OPERATIVE","2809 EARLY DR","","SASKATOON",SK,S7H3K4,CA
124052507RR0001,0210,0001,A,"Brightshores Health System Owen Sound Foundation","Brightshores Health System Owen Sound Foundation","PO BOX 1001","1800 8TH STREET EAST","OWEN SOUND",ON,N4K6H6,CA
107995763RR0001,0011,0099,C,"SOUTHERN ALBERTA HERITAGE LANGUAGE ASSOCIATION","SOUTHERN ALBERTA HERITAGE LANGUAGE ASSOCIATION","STE 205 1409 EDMONTON TRAIL NE","","CALGARY",AB,T2E3K8,CA
105229124RR0001,0010,0004,C,"MONTESSORI ACADEMY OF LONDON  INC.","MONTESSORI ACADEMY OF LONDON  INC.","719 WATERLOO ST","","LONDON",ON,N6A3W1,CA
119195683RR0001,0010,0099,C,"ST PAUL'S HIGH SCHOOL INC.","ST PAUL'S HIGH SCHOOL INC.","2200 GRANT AVENUE","","WINNIPEG",MB,R3P0P8,CA
866605785RR0001,0030,0099,C,"BURLINGTON CHRISTIAN ACADEMY","BURLINGTON CHRISTIAN ACADEMY","521 NORTH SERVICE RD W","","BURLINGTON",ON,L7P5C3,CA
101676864RR0001,0010,0099,C,"ERIN MILLS CO-OPERATIVE NURSERY SCHOOL INC.","ERIN MILLS CO-OPERATIVE NURSERY SCHOOL INC.","2264 COUNCIL RING RD","","MISSISSAUGA",ON,L5L1B7,CA
758208912RR0001,0030,0008,C,"Cedarhill Congregation of Jehovah's Witnesses  Ottawa  Ontario","Cedarhill Congregation of Jehovah's Witnesses  Ottawa  Ontario","40B WHELAN DR","","NEPEAN",ON,K2J3K6,CA
119218089RR0001,0015,0002,A,"THE CALGARY PHILHARMONIC ORCHESTRA FOUNDATION","THE CALGARY PHILHARMONIC ORCHESTRA FOUNDATION","5220 - 7005 FAIRMOUNT DR SE","","CALGARY",AB,T2H0K4,CA
891164147RR0001,0210,0002,B,"THE E D LOTT CHRISTMAS FUND","THE E D LOTT CHRISTMAS FUND","66 WELLINGTON STREET WEST","36TH FLOOR","TORONTO",ON,M5K1A2,CA
119250330RR0001,0190,0099,C,"THE PAS MUSIC AND FINE ARTS FESTIVAL","THE PAS MUSIC AND FINE ARTS FESTIVAL","PO BOX 3434","","THE PAS",MB,R9A1S2,CA
893138669RR0001,0190,0099,C,"GRANDE PRAIRIE LIVE THEATRE SOCIETY","GRANDE PRAIRIE LIVE THEATRE SOCIETY","10130 98 AVENUE","","GRANDE PRAIRIE",AB,T8V0P6,CA
826590432RR0001,0100,0003,C,"IN THE COMPANY OF FRIENDS INC.","In the Company of Friends Inc.","144 SEDONA CRES","","WINNIPEG",MB,R2R2W7,CA
131738361RR0001,0010,0099,C,"40 MILE CHRISTIAN EDUCATION SOCIETY","40 MILE CHRISTIAN EDUCATION SOCIETY","BOX 10370","","BOW ISLAND",AB,T0K0G0,CA
129375994RR0001,0200,0099,C,"HOMESTEAD MUSEUM SOCIETY","THE HOMESTEAD MUSEUM SOCIETY","BOX 3154","","DRUMHELLER",AB,T0J0Y0,CA
878778265RR0001,0210,0001,C,"THE RED ROAD HEALING SOCIETY","THE RED ROAD HEALING SOCIETY","332 - 10045 156 ST NW","","EDMONTON",AB,T5P2P7,CA
873673230RR0001,0010,0099,C,"INDEPENDENT BAPTIST CHRISTIAN EDUCATION SOCIETY","INDEPENDENT BAPTIST CHRISTIAN EDUCATION SOCIETY","26404 HWY 16  WEST","","SPRUCE GROVE",AB,T7X3G2,CA
140783887RR0001,0001,0099,C,"Ensemble Services Greater-Grand Moncton Inc.","Ensemble Services Greater-Grand Moncton Inc.","PO BOX 203 STN MAIN","","MONCTON",NB,E1C8K9,CA
899977441RR0001,0001,0099,C,"Bureau d'animation et information Logement du Québec Métropolitain (Bail) Inc.","BUREAU D'ANIMATION ET INFORMATION LOGEMENT DU QUEBEC METROPOLITAIN INC","265  RUE DE LA COURONNE","PORTE 100","QUEBEC",QC,G1K6E1,CA
118916048RR0001,0160,0099,C,"FIRST AID SKI PATROL","FIRST AID SKI PATROL","3 - 2216 COMMERCIAL DR","","VANCOUVER",BC,V5N4B5,CA
889152773RR0001,0100,0099,C,"THE MONTREAL CHAPTER OF DYSAUTONOMIA FOUNDATION","THE MONTREAL CHAPTER OF DYSAUTONOMIA FOUNDATION","3551 ST-CHARLES BLVD","SUITE 155","KIRKLAND",QC,H9H3C4,CA
849982285RR0001,0100,0001,C,"U-TURN DROP IN CENTER CORP.","U-Turn Drop In Center Corp.","1 - 19 INDUSTRIAL PARK","","CARBONEAR",NL,A1Y1A5,CA
775630122RR0001,0210,0002,B,"FORT ST. JOHN FIREFIGHTERS CHARITABLE SOCIETY","Fort St. John Firefighters Charitable Society","9312 93 AVE","","FORT ST. JOHN",BC,V1J6T4,CA
118777366RR0001,0070,0005,C,"ACTION MONDIALE D'EVANGELISATION (QUEBEC) INC.","ACTION MONDIALE D'EVANGELISATION (QUEBEC) INC.","110 PRINCIPALE","C.P. 80025","CHÂTEAUGUAY",QC,J6J5X2,CA
874034374RR0001,0010,0004,C,"SUZUKI CHARTER SCHOOL SOCIETY","Suzuki Charter School Society","10720 54 ST NW","","EDMONTON",AB,T6A2H9,CA
107775835RR0001,0160,0099,C,"NISHNAWBE-GAMIK FRIENDSHIP CENTRE INC.","NISHNAWBE-GAMIK FRIENDSHIP CENTRE INC.","52 KING ST","PO BOX 1299 STN MAIN","SIOUX LOOKOUT",ON,P8T1B8,CA
846052785RR0001,0012,0002,C,"WINDSOR-ESSEX YOUTH CHOIR","WINDSOR-ESSEX YOUTH CHOIR","PO BOX 24014 RPO MARKET","","WINDSOR",ON,N8Y4Y9,CA
886431162RR0001,0012,0099,C,"C THE VISUAL ARTS FOUNDATION","C The Visual Arts Foundation","PO BOX 5 STN B","","TORONTO",ON,M5T2T2,CA
119102960RR0001,0190,0099,C,"THE PRINCE ALBERT KIWANIS MUSIC FESTIVAL ASSOCIATION","THE PRINCE ALBERT KIWANIS MUSIC FESTIVAL ASSOCIATION","PO BOX 23056 RPO SOUTH","","PRINCE ALBERT",SK,S6V8A7,CA
108148263RR0132,0030,0099,C,"UKRAINIAN ORTHODOX CHURCH OF CANADA","UKRAINIAN ORTHODOX CHURCH OF ALL SAINTS OF MELFORT","807 MAIN ST N","BOX 1844","MELFORT",SK,S0E1A0,CA
119212983RR0001,0015,0002,A,"THE APPLEBY COLLEGE FOUNDATION","THE APPLEBY COLLEGE FOUNDATION","540 LAKESHORE RD. WEST","","OAKVILLE",ON,L6K3P1,CA
890750847RR0001,0180,0099,C,"KAMLOOPS AND DISTRICT HUMANE SOCIETY","KAMLOOPS AND DISTRICT HUMANE SOCIETY","304 - 860 NICOLANI DR","","KAMLOOPS",BC,V2B5B3,CA
106917040RR0001,0010,0099,C,"CHOICE SCHOOL FOR GIFTED CHILDREN SOCIETY","CHOICE SCHOOL FOR GIFTED CHILDREN SOCIETY","20451 WESTMINSTER HWY","","RICHMOND",BC,V6V1B3,CA
836674358RR0001,0200,0006,C,"KEEPERS OF THE LETTERKENNY EVANGELICAL UNITED BRETHREN CHURCH & CEMETERY","Keepers of the Letterkenny Evangelical United Brethren Church & Cemetery","1832 LETTERKENNY RD ","R R #1","PALMER RAPIDS",ON,K0J2E0,CA
107413585RR0001,0010,0001,C,"CENTRE DE LA PETITE ENFANCE LE SABLIER","Centre de la petite enfance Le Sablier","1860 MARIE-ANNE EST","","MONTREAL",QC,H2H1M1,CA
840691885RR0001,0210,0002,A,"Fondation Le Petit Blanchon","Fondation Le Petit Blanchon","508 - 725 BOUL LEBOURGNEUF","","QUEBEC",QC,G2J0C4,CA
137179982RR0001,0011,0099,C,"COOPERATIVE RADIO RESTIGOUCHE LTEE","COOPERATIVE RADIO RESTIGOUCHE LTEE","C.P. 2561","1991 AVENUE DES PIONNIERS","BALMORAL",NB,E8E2W7,CA
892221847RR0001,0011,0099,C,"SOCIETA CANADESE PER GLI STUDI D'ITALIANISTICA/CANADIAN SOCI","SOCIETA CANADESE PER GLI STUDI D'ITALIANISTICA/CANADIAN SOCIETY FOR ITALIAN STUDIES/SOCIETE CANADIENNE POUR LES ETUDES I","67 ORKNEY CRES","","LONDON",ON,N5X3R7,CA
808134241RR0001,0012,0003,C,"NEW VINTAGE THEATRE SOCIETY","New Vintage Theatre Society","386 FARRON CRT","","KELOWNA",BC,V1W5H2,CA
888668399RR0001,0001,0099,C,"THE ROYAL CANADIAN LEGION LORD ELGIN (ONT NO 41) BRANCH","THE ROYAL CANADIAN LEGION  LORD ELGIN (ONT NO 41) BRANCH POPPY FUND","24-26 JOHN SE","","ST THOMAS",ON,N5P2X3,CA
130866288RR0001,0030,0099,C,"BETHANY GOSPEL CHAPEL","BETHANY GOSPEL CHAPEL","14 BRUCE ST","","DARTMOUTH",NS,B2W1L4,CA
812288470RR0001,0100,0009,C,"ALBERTA NORTHWEST PALLIATIVE CARE SOCIETY","ALBERTA NORTHWEST PALLIATIVE CARE SOCIETY","204 - 10134 97 AVE","","GRANDE PRAIRIE",AB,T8V7X6,CA
130868649RR0001,0160,0099,C,"PORTAGE & DISTRICT RECYCLING INC.","PORTAGE & DISTRICT RECYCLING INC","700 PHILLIPS ST","","PORTAGE LA PRAIRIE",MB,R1N4A4,CA
133289306RR0001,0190,0099,C,"NORTHWESTERN MARQUETTE FESTIVAL","NORTHWESTERN MARQUETTE FESTIVAL","PO BOX 822","","RUSSELL",MB,R0J1W0,CA
728519273RR0001,0150,0001,C,"COWICHAN LAKE ELDER CARE SOCIETY","Cowichan Lake Elder Care Society","PO BOX 832","","LAKE COWICHAN",BC,V0R2G0,CA
118832740RR0001,0011,0099,C,"CANADIAN FRIENDS OF YESHIVATH BETH ABRAHAM JERUSALEM","CANADIAN FRIENDS OF YESHIVATH BETH ABRAHAM JERUSALEM","117 BARSE STREET","","TORONTO",ON,M5M4L3,CA
867739393RR0001,0011,0099,C,"SKILLS CANADA SASKATCHEWAN INC","SKILLS CANADA SASKATCHEWAN INC","179 BOREALIS CRES","","OTTAWA",ON,K1K4V1,CA
744447913RR0001,0030,0008,C,"Kingsville Congregation of Jehovah's Witnesses  Kingsville  Ontario","Kingsville Congregation of Jehovah's Witnesses  Kingsville  Ontario","287 IRWIN AVE","","ESSEX",ON,N8M2T7,CA
118911445RR0001,0030,0099,C,"FAITH BIBLE CHAPEL","FAITH BIBLE CHAPEL","43 KENMOUNT RD","","ST. JOHN'S",NL,A1B1W1,CA
874823412RR0001,0013,0099,C,"SOMALI CANADIAN CULTURAL SOCIETY OF EDMONTON","Somali Canadian Cultural Society of Edmonton","312 - 6770 129 AVE NW","","EDMONTON",AB,T5C1V7,CA
107848715RR0001,0001,0099,C,"CALGARY PLAY COMMUNITY CHILD DEVELOPMENT CENTRE","CALGARY PLAY COMMUNITY CHILD DEVELOPMENT CENTRE","1227 KENSINGTON CLOSE NW","","CALGARY",AB,T2N3J6,CA
